Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,L2CacheHit
8458,"gemm_qkv_hfq4g256_fp16_wave64.kd",1,0,16951,50536,50536,5242880,64,0,16,64,0,48,64,0x0,0x7f198eee0880,None
8460,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,16935,50588,50588,2097152,64,0,0,64,0,48,64,0x0,0x79b1570f86c0,90.1429441481
8463,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,16938,50588,50588,6324224,64,0,16,64,0,48,64,0x0,0x79b1574e8940,90.3089723163
8472,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,16965,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,91.2417466328
8475,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,16968,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,90.2085639694
8478,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,16971,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,89.9041615319
8481,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,16974,50536,50536,6324224,64,0,16,64,0,48,64,0x0,0x7f1990c48940,90.2141576008
8490,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,16983,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,91.2012861782
8493,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,16986,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,90.1413694164
8496,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,16989,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,89.9735943087
8499,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,16992,50536,50536,6324224,64,0,16,64,0,48,64,0x0,0x7f1990c48940,90.0973162818
8508,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17001,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,91.2023702388
8511,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17004,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,90.1535822726
8514,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17007,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,89.9990319188
8517,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17010,50536,50536,6324224,64,0,16,64,0,48,64,0x0,0x7f1990c48940,89.9925755654
8526,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17019,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,None
8529,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17022,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,None
