Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,FetchSize,MemUnitBusy,MemUnitStalled,VALUBusy,LDSBankConflict
8497,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,16979,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,142399.1250000000,73.2570290067,1.2689176401,61.8140803932,0.0000000000
8500,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,16982,51856,51856,12582912,64,0,16,64,0,48,64,0x0,0x72a6f7a887c0,953459.6875000000,76.1127973690,1.8090092261,65.0766343351,0.0000000000
8503,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,16985,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,429296.6250000000,65.0189391033,0.3958949914,54.6659052346,0.0000000000
8506,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,16988,51856,51856,6324224,64,0,16,64,0,48,64,0x0,0x72a6f7b38940,480133.3750000000,74.7181761904,1.8615988861,63.7650192623,0.0000000000
8515,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,16997,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,142421.1250000000,73.1907931981,1.3070822865,61.8500509684,0.0000000000
8518,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17000,51856,51856,12582912,64,0,16,64,0,48,64,0x0,0x72a6f7a887c0,953001.6250000000,76.0073533725,1.8023103417,65.0179325927,0.0000000000
8521,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17003,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,429068.1250000000,65.2815530903,0.3876851647,54.7182851476,0.0000000000
8524,"gemm_qkv_hfq4g256_fp16_wave64.kd",1,0,17006,51856,51856,5242880,64,0,16,64,0,48,64,0x0,0x72a6f76b8880,398182.6875000000,74.6560949836,1.8493047906,63.5504034499,0.0000000000
8538,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17020,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,142347.3125000000,73.0927866642,1.2949545092,61.6313897385,0.0000000000
8541,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17023,51856,51856,12582912,64,0,16,64,0,48,64,0x0,0x72a6f7a887c0,953191.5625000000,76.1355193141,1.8204482665,65.1082773553,0.0000000000
8544,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17026,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,429199.2500000000,64.7520195749,0.3910517992,54.6173514075,0.0000000000
8547,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17029,51856,51856,6324224,64,0,16,64,0,48,64,0x0,0x72a6f7b38940,479876.1875000000,74.8507840451,1.8665340793,64.0190974914,0.0000000000
8556,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17038,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,142416.9375000000,73.2646495999,1.2932331899,61.8324596307,0.0000000000
8559,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17041,51856,51856,12582912,64,0,16,64,0,48,64,0x0,0x72a6f7a887c0,953070.8125000000,76.1889425672,1.8099316010,65.1602971271,0.0000000000
8562,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17044,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,429019.3125000000,65.2003240227,0.3885898429,54.8949843739,0.0000000000
8565,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17047,51856,51856,6324224,64,0,16,64,0,48,64,0x0,0x72a6f7b38940,480088.3125000000,74.7804205411,1.8908827027,63.8479474332,0.0000000000
8574,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17056,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,142373.8125000000,73.4268370483,1.2844047750,61.9866875418,0.0000000000
8577,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17059,51856,51856,12582912,64,0,16,64,0,48,64,0x0,0x72a6f7a887c0,953779.3750000000,76.1476116200,1.8282294957,65.1978223347,0.0000000000
8580,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17062,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,429146.2500000000,64.8701875854,0.3938946135,54.6216374087,0.0000000000
8583,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17065,51856,51856,6324224,64,0,16,64,0,48,64,0x0,0x72a6f7b38940,480078.4375000000,74.7755671296,1.8644903125,63.8617837821,0.0000000000
8592,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17074,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,142413.4375000000,73.4838626391,1.2975768351,62.0884508760,0.0000000000
8595,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17077,51856,51856,12582912,64,0,16,64,0,48,64,0x0,0x72a6f7a887c0,953549.3125000000,76.0341378500,1.8143968635,65.0425092303,0.0000000000
8598,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17080,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,428919.3750000000,65.4234352705,0.3843151368,55.0007088517,0.0000000000
8601,"gemm_qkv_hfq4g256_fp16_wave64.kd",1,0,17083,51856,51856,5242880,64,0,16,64,0,48,64,0x0,0x72a6f76b8880,398259.1875000000,74.7884482464,1.8770578083,63.6141607710,0.0000000000
8615,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17097,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,142405.5000000000,73.2204912031,1.3013886575,61.9473008282,0.0000000000
8618,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17100,51856,51856,12582912,64,0,16,64,0,48,64,0x0,0x72a6f7a887c0,953043.6250000000,76.1351162449,1.8235444898,65.2136269589,0.0000000000
8621,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17103,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,429352.3125000000,64.6785522149,0.3971761207,54.5871582999,0.0000000000
8624,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17106,51856,51856,6324224,64,0,16,64,0,48,64,0x0,0x72a6f7b38940,479821.4375000000,75.0778215942,1.8538314875,63.9870352046,0.0000000000
8633,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17115,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,142410.3750000000,73.2376871843,1.3250919667,61.8020535629,0.0000000000
8636,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17118,51856,51856,12582912,64,0,16,64,0,48,64,0x0,0x72a6f7a887c0,953089.3125000000,76.2617143372,1.8087950034,65.1409514839,0.0000000000
8639,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17121,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,429285.6875000000,63.8731636743,0.3706814302,54.3962803503,0.0000000000
8642,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17124,51856,51856,6324224,64,0,16,64,0,48,64,0x0,0x72a6f7b38940,479735.1250000000,74.7483318893,1.8463016673,63.8271053784,0.0000000000
8651,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17133,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,142329.8125000000,73.2148044108,1.3231133915,61.8515899391,0.0000000000
8654,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17136,51856,51856,12582912,64,0,16,64,0,48,64,0x0,0x72a6f7a887c0,953139.6250000000,76.0617978644,1.8066382324,65.0787213447,0.0000000000
8657,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17139,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,428930.7500000000,65.3059247941,0.3824909788,54.7647756801,0.0000000000
8660,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17142,51856,51856,6324224,64,0,16,64,0,48,64,0x0,0x72a6f7b38940,479978.6875000000,74.8003790988,1.8886510573,63.8319771092,0.0000000000
8669,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17151,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,142348.5000000000,73.3568661900,1.3287344713,61.8952850824,0.0000000000
8672,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17154,51856,51856,12582912,64,0,16,64,0,48,64,0x0,0x72a6f7a887c0,952967.1875000000,76.0425335050,1.8108928679,65.0811670929,0.0000000000
8675,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17157,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,429176.1250000000,64.1077956202,0.3715544217,54.4152025714,0.0000000000
8678,"gemm_qkv_hfq4g256_fp16_wave64.kd",1,0,17160,51856,51856,5242880,64,0,16,64,0,48,64,0x0,0x72a6f76b8880,398057.3750000000,74.6982603874,1.8950461616,63.5340983887,0.0000000000
8692,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17174,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,142412.0000000000,73.0565713278,1.3035060692,61.6214923826,0.0000000000
8695,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17177,51856,51856,12582912,64,0,16,64,0,48,64,0x0,0x72a6f7a887c0,953034.9375000000,76.1226459640,1.8336716025,65.1361629697,0.0000000000
8698,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17180,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,428985.1250000000,65.5519764761,0.3880289655,54.9521428119,0.0000000000
